smiles,LogS
CCCCCCCCCCCCCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCCCCCCCCCCCCCCC,-17.46845707
CCCCCCCCCCCCCCCCCOC(=O)c1ccc(c(c1)N(CCCl)CCCl)C,-13.45141192
CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.31996592
CCCCCCCCCCCCCCCCCC(=O)OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,-11.28911114
CCOC(=O)CCCCCCCCC(c1ccc(cc1)I)C,-8.376413208
CCCCCCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C.[Cl-],-7.309042832
CCCCCCCCCCCCOC(=O)c1ccc(cc1)O,-7.172486751
Ic1cc(I)c(c(c1)C(=O)O)I,-7.141299486
OC(=O)CCc1c(I)cc(c(c1I)/N=C/N(C)C)I,-7.128996546
Brc1cc(Br)c(cc1Br)Br,-6.98
CCCC[C@@H](COC(=O)c1ccccc1C(=O)OC[C@H](CCCC)CC)CC,-6.96
CCC(C(=O)O)Oc1c(I)cc(cc1I)I,-6.833160214
OC(=O)COc1c(I)cc(cc1I)I,-6.790655823
COc1cc(C)c(c(c1C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,-6.651070519
CC(CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C)C,-6.6399999
COP(=S)(Oc1cc(Cl)c(cc1Cl)I)OC,-6.6199999
CCC(C(=O)O)Cc1c(I)cc(c(c1I)O)I,-6.549162006
CCCN(c1c(cc(cc1[N+](=O)[O-])C(C)C)[N+](=O)[O-])CCC,-6.4899998
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.1399999
CCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC(=C)C,-6.1199999
